#Age   [M/H] slope  CN1    CN2  Ca4227    G   Fe4383 Ca4455 Fe4531  C4668   Hb   Fe5015   Mg1    Mg2    Mgb  Fe5270 Fe5335 Fe5406 Fe5709 Fe5782   NaD    TiO1   TiO2    HdA    HgA   HdF    HgF   D4000   CaT*   PaT    CaT    sTiO   MgI   D_CO
#===========================================================================================================================================================================================================================---------------------
15.85 -1.71  0.30 -0.137 -0.039  0.375  2.056  0.977  0.371  1.266 -0.442  2.530  1.818  0.002  0.041  0.848  0.775  0.665  0.290  0.298  0.086  0.874  0.013  0.001  3.334  0.703  2.547  1.749  1.594  4.165  0.806  4.914  0.944  0.252  1.077
17.78 -1.71  0.30 -0.147 -0.046  0.369  1.769  0.833  0.344  1.197 -0.424  2.728  1.756  0.004  0.043  0.909  0.734  0.648  0.282  0.295  0.077  0.890  0.013  0.001  3.644  1.067  2.839  1.997  1.577  4.215  0.853  5.008  0.944  0.256  1.075
 0.10 -1.31  0.30 -0.293 -0.198 -0.277 -1.884 -0.567 -0.054  0.406 -0.830  6.204  0.941  0.002  0.022  0.534  0.008  0.073 -0.025  0.183 -0.003  0.672  0.014 -0.001  8.995  8.398  6.565  6.620  1.207  3.501  4.763  7.931  0.952  0.093  1.074
 0.11 -1.31  0.30 -0.227 -0.167  0.003 -0.364  0.386  0.299  1.245 -0.132  4.564  2.443  0.019  0.076  0.960  1.037  0.818  0.543  0.455  0.307  1.954  0.029  0.042  7.454  5.784  5.493  5.190  1.297  6.888  2.252  8.983  1.000  0.504  1.154
 0.13 -1.31  0.30 -0.215 -0.153  0.020 -0.182  0.401  0.315  1.283 -0.122  4.430  2.488  0.020  0.079  1.007  1.056  0.836  0.551  0.449  0.305  1.996  0.031  0.046  7.272  5.513  5.323  5.030  1.310  6.882  2.245  8.970  1.001  0.504  1.156
 0.14 -1.31  0.30 -0.183 -0.129  0.054  0.004  0.653  0.362  1.366  0.083  4.252  2.560  0.023  0.087  1.218  1.146  0.941  0.615  0.450  0.333  2.146  0.034  0.052  6.852  5.155  5.101  4.820  1.327  6.952  2.165  8.966  1.002  0.514  1.160
 0.16 -1.31  0.30 -0.164 -0.113  0.101  0.233  0.781  0.409  1.466  0.231  4.045  2.702  0.026  0.097  1.333  1.233  1.027  0.677  0.453  0.354  2.299  0.039  0.062  6.523  4.717  4.862  4.572  1.342  7.091  2.046  8.994  1.005  0.536  1.165
 0.18 -1.31  0.30 -0.150 -0.098  0.125  0.415  0.811  0.428  1.504  0.307  3.902  2.754  0.027  0.101  1.395  1.256  1.060  0.697  0.443  0.355  2.350  0.043  0.068  6.237  4.347  4.668  4.370  1.352  7.072  1.997  8.929  1.004  0.540  1.167
 0.20 -1.31  0.30 -0.142 -0.087  0.117  0.424  0.714  0.405  1.442  0.310  3.884  2.666  0.027  0.100  1.395  1.196  1.032  0.675  0.420  0.337  2.300  0.044  0.071  6.106  4.224  4.606  4.314  1.357  6.932  2.027  8.818  1.001  0.528  1.168
 0.22 -1.31  0.30 -0.128 -0.074  0.150  0.385  0.673  0.394  1.405  0.344  3.911  2.591  0.027  0.100  1.426  1.158  1.073  0.713  0.399  0.328  2.271  0.046  0.073  6.062  4.344  4.645  4.397  1.356  6.774  2.077  8.706  0.999  0.515  1.169
 0.25 -1.31  0.30 -0.124 -0.071  0.069 -0.160  0.255  0.265  1.080  0.260  4.230  2.179  0.026  0.088  1.273  0.915  0.931  0.621  0.358  0.284  2.121  0.043  0.066  6.438  5.118  5.129  4.933  1.357  6.565  2.204  8.615  0.996  0.495  1.167
 0.28 -1.31  0.30 -0.126 -0.072  0.005 -0.640 -0.186  0.151  0.793  0.170  4.534  1.820  0.026  0.077  1.098  0.677  0.785  0.533  0.320  0.238  1.983  0.041  0.061  6.754  5.701  5.531  5.362  1.369  6.396  2.280  8.517  0.995  0.483  1.166
 0.32 -1.31  0.30 -0.139 -0.083 -0.083 -1.339 -0.702  0.010  0.444  0.049  5.051  1.347  0.025  0.063  0.890  0.352  0.565  0.391  0.264  0.174  1.819  0.038  0.054  7.364  6.468  5.939  5.787  1.386  6.222  2.509  8.555  0.995  0.469  1.167
 0.35 -1.31  0.30 -0.129 -0.076 -0.074 -1.434 -0.743  0.007  0.455 -0.038  5.184  1.317  0.023  0.061  0.866  0.323  0.537  0.365  0.254  0.162  1.734  0.036  0.050  7.549  6.704  6.013  5.893  1.399  6.018  2.625  8.459  0.992  0.449  1.165
 0.40 -1.31  0.30 -0.117 -0.068 -0.050 -1.422 -0.718  0.024  0.512 -0.079  5.207  1.370  0.022  0.062  0.883  0.352  0.551  0.369  0.255  0.164  1.708  0.036  0.049  7.593  6.751  5.990  5.891  1.406  5.962  2.613  8.392  0.991  0.444  1.164
 0.45 -1.31  0.30 -0.108 -0.062 -0.028 -1.415 -0.715  0.038  0.561 -0.108  5.221  1.420  0.021  0.063  0.898  0.378  0.565  0.375  0.257  0.167  1.691  0.035  0.049  7.585  6.694  5.979  5.857  1.411  5.941  2.584  8.345  0.990  0.443  1.163
 0.50 -1.31  0.30 -0.094 -0.049 -0.003 -1.213 -0.588  0.066  0.625 -0.108  5.059  1.479  0.020  0.064  0.940  0.432  0.592  0.384  0.266  0.173  1.649  0.034  0.047  7.318  6.562  5.673  5.696  1.421  5.809  2.409  8.050  0.986  0.433  1.160
